,userId,movieId,prediction,title,genres
0,471,83318,4.876417,GoatThe(1921),Comedy
1,471,83411,4.876417,Cops(1922),Comedy
2,471,65037,4.7480407,BenX(2007),Drama
3,471,54328,4.737299,MyBestFriend(Monmeilleurami)(2006),Comedy
4,471,8530,4.7103457,DearFrankie(2004),Drama|Romance
5,471,73344,4.64903,ProphetA(UnProph̬te)(2009),Crime|Drama
6,471,6413,4.626052,ElectricHorsemanThe(1979),Comedy|Western
7,471,92210,4.549103,DisappearanceofHaruhiSuzumiyaThe(SuzumiyaHaruhinosh̫shitsu)(2010),Adventure|Animation|Drama|Mystery|Sci-Fi
8,471,110873,4.549103,CentenarianWhoClimbedOuttheWindowandVanishedThe(Hundra̴ringensomklevutgenomf̦nstretochf̦rsvann)(2013),Adventure|Comedy|Drama
9,471,108583,4.533252,FawltyTowers(1975-1979),Comedy
10,471,31193,4.4895773,ManyAdventuresofWinniethePoohThe(1977),Animation|Children|Musical
11,471,77846,4.4724183,12AngryMen(1997),Crime|Drama
12,471,5244,4.464364,ShogunAssassin(1980),Action|Adventure
13,471,93320,4.464364,TrailerParkBoys(1999),Comedy|Crime
14,471,50641,4.464364,House(Hausu)(1977),Comedy|Fantasy|Horror
15,471,9010,4.461793,LoveMeIfYouDare(Jeuxd'enfants)(2003),Drama|Romance
16,471,632,4.441007,LandandFreedom(Tierraylibertad)(1995),Drama|War
17,471,53,4.441007,Lamerica(1994),Adventure|Drama
18,471,2924,4.4273777,DrunkenMaster(Juikuen)(1978),Action|Comedy
19,463,83318,5.030898,GoatThe(1921),Comedy
20,463,83411,5.030898,Cops(1922),Comedy
21,463,54328,4.6357074,MyBestFriend(Monmeilleurami)(2006),Comedy
22,463,73344,4.5491753,ProphetA(UnProph̬te)(2009),Crime|Drama
23,463,5059,4.5278087,LittleDieterNeedstoFly(1997),Documentary
24,463,8609,4.5278087,OurHospitality(1923),Comedy
25,463,25764,4.5278087,CameramanThe(1928),Comedy|Drama|Romance
26,463,80599,4.5278087,BusterKeaton:AHardActtoFollow(1987),Documentary
27,463,26400,4.5278087,GatesofHeaven(1978),Documentary
28,463,8797,4.5278087,Salesman(1969),Documentary
29,463,72647,4.5278087,Zorn'sLemma(1970),Drama
30,463,7074,4.5278087,NavigatorThe(1924),Comedy
31,463,4405,4.5278087,LastLaughThe(LetzteMannDer)(1924),Drama
32,463,31547,4.5278087,LessonsofDarkness(LektioneninFinsternis)(1992),Documentary|War
33,463,3309,4.5278087,Dog'sLifeA(1918),Comedy
34,463,3030,4.3803444,Yojimbo(1961),Action|Adventure
35,463,6918,4.3757715,UnvanquishedThe(Aparajito)(1957),Drama
36,463,65037,4.3754325,BenX(2007),Drama
37,463,1859,4.3606524,TasteofCherry(Ta'meguilass)(1997),Drama
38,463,1860,4.3308096,Character(Karakter)(1997),Drama
39,496,65037,5.288675,BenX(2007),Drama
40,496,8530,5.174908,DearFrankie(2004),Drama|Romance
41,496,54328,5.096963,MyBestFriend(Monmeilleurami)(2006),Comedy
42,496,77846,5.0477486,12AngryMen(1997),Crime|Drama
43,496,83318,5.0032454,GoatThe(1921),Comedy
44,496,83411,5.0032454,Cops(1922),Comedy
45,496,108583,4.9576325,FawltyTowers(1975-1979),Comedy
46,496,6413,4.956093,ElectricHorsemanThe(1979),Comedy|Western
47,496,73344,4.9163423,ProphetA(UnProph̬te)(2009),Crime|Drama
48,496,9010,4.8858113,LoveMeIfYouDare(Jeuxd'enfants)(2003),Drama|Romance
49,496,85179,4.8680725,SummerWars(Sam̢w̫zu)(2009),Adventure|Animation|Comedy|Sci-Fi
50,496,8132,4.8573437,Gladiator(1992),Action|Drama
51,496,6959,4.7881174,Timeline(2003),Action|Adventure|Sci-Fi
52,496,77837,4.759807,YouDon'tKnowJack(2010),Drama
53,496,53,4.757094,Lamerica(1994),Adventure|Drama
54,496,632,4.757094,LandandFreedom(Tierraylibertad)(1995),Drama|War
55,496,93320,4.75603,TrailerParkBoys(1999),Comedy|Crime
56,148,83318,5.6270995,GoatThe(1921),Comedy
57,148,83411,5.6270995,Cops(1922),Comedy
58,148,54328,5.153371,MyBestFriend(Monmeilleurami)(2006),Comedy
59,148,8530,5.1468577,DearFrankie(2004),Drama|Romance
60,148,73344,5.1127176,ProphetA(UnProph̬te)(2009),Crime|Drama
